dataset,score
common_gen,0.438884924072455
anli,0.37623762376237624
bool_q,0.32673267326732675
xsum,0.14737908281640089
python_code,0.16644726194723883
cosmos_qa,0.4158415841584158
squad,0.48082562457926464
coqa,0.48713739336884543
eng_spa,0.10626308240158792
paws,0.5445544554455446
