dataset,score
common_gen,0.5360958795698896
anli,0.3157894736842105
bool_q,0.47368421052631576
xsum,0.250057120293186
python_code,0.011062401141762988
cosmos_qa,0.21052631578947367
squad,0.7959899749373434
coqa,0.7930890820055656
eng_spa,0.21882466642909318
paws,0.47368421052631576
