dataset,score
common_gen,0.16666666666666666
anli,1.0
bool_q,1.0
xsum,0.186046511627907
python_code,0.0519275225418886
cosmos_qa,1.0
squad,1.0
coqa,0.5942857142857143
eng_spa,0.04368583925857938
paws,1.0
