dataset,score
common_gen,0.48580586080586086
common_gen,0.24774354186118894
anli,0.0
bool_q,1.0
xsum,0.15821092664708158
python_code,0.03054890353202807
cosmos_qa,0.6666666666666666
squad,0.7373219373219374
coqa,0.8365871944819313
eng_spa,0.03967467560523862
paws,0.6666666666666666
