dataset,score
common_gen,0.4550503412995671
anli,0.4
bool_q,0.35
xsum,0.13556850310435778
python_code,0.1763774212446877
cosmos_qa,0.44
squad,0.5375702075702075
coqa,0.47224385740377217
eng_spa,0.09350938228574181
paws,0.57
