dataset,score
common_gen,0.4506233978065449
anli,0.2845
bool_q,0.626
xsum,0.24927860630634602
python_code,0.061975907949824834
cosmos_qa,0.2555
squad,0.8622195976319038
coqa,0.7350143097706962
eng_spa,0.15944278562992212
paws,0.723
