dataset,score
common_gen,0.2906869907562428
anli,0.3157894736842105
bool_q,0.47368421052631576
python_code,0.0031702973857394524
cosmos_qa,0.2631578947368421
squad,0.06662246513847839
eng_spa,0.019155199610526905
paws,0.47368421052631576
